Jan-09,1
Feb-09,6
Mar-09,2
Apr-09,5
May-09,2
Jun-09,2
Jul-09,1
Aug-09,4
Sep-09,4
Oct-09,3
Nov-09,2
Dec-09,3
Jan-10,5
Feb-10,10
Mar-10,9
Apr-10,12
May-10,6
Jun-10,8
Jul-10,25
Aug-10,12
Sep-10,21
Oct-10,15
Nov-10,54
Dec-10,23
Jan-11,32
Feb-11,56
Mar-11,74
Apr-11,77
May-11,152
Jun-11,314
Jul-11,265
Aug-11,241
Sep-11,182
Oct-11,158
Nov-11,156
Dec-11,173
Jan-12,179
Feb-12,202
Mar-12,204
Apr-12,215
May-12,684
Jun-12,955
Jul-12,910
Aug-12,1100
Sep-12,953
Oct-12,914
Nov-12,945
Dec-12,1166
Jan-13,1428
Feb-13,1568
Mar-13,1735
Apr-13,1662
May-13,1807
Jun-13,1457
Jul-13,1222
Aug-13,1725
Sep-13,1595
Oct-13,1635
Nov-13,2058
Dec-13,2000
Jan-14,1835
Feb-14,1907
Mar-14,2135
Apr-14,1892
May-14,2015
Jun-14,1825
Jul-14,2022
Aug-14,2058
Sep-14,2129
Oct-14,2372
Nov-14,2513
Dec-14,1122
